Year,Region,School,Family,Students
2015,관악구,중학교,국제결혼가정 자녀,67
2015,관악구,중학교,외국인가정 자녀,12
2015,관악구,고등학교,국제결혼가정 자녀,44
2015,관악구,고등학교,외국인가정 자녀,13
2016,관악구,초등학교,국제결혼가정 자녀,347
2016,관악구,초등학교,외국인가정 자녀,203
2016,관악구,중학교,국제결혼가정 자녀,55
2016,관악구,중학교,외국인가정 자녀,18
2016,관악구,고등학교,국제결혼가정 자녀,48
2016,관악구,고등학교,외국인가정 자녀,27
2017,관악구,초등학교,국제결혼가정 자녀,396
2017,관악구,초등학교,외국인가정 자녀,238
2017,관악구,중학교,국제결혼가정 자녀,88
2017,관악구,중학교,외국인가정 자녀,29
2017,관악구,고등학교,국제결혼가정 자녀,70
2017,관악구,고등학교,외국인가정 자녀,11
2018,관악구,초등학교,국제결혼가정 자녀,440
2018,관악구,초등학교,외국인가정 자녀,229
2018,관악구,중학교,국제결혼가정 자녀,105
2018,관악구,중학교,외국인가정 자녀,61
2018,관악구,고등학교,국제결혼가정 자녀,38
2018,관악구,고등학교,외국인가정 자녀,26
2019,관악구,초등학교,국제결혼가정 자녀,509
2019,관악구,초등학교,외국인가정 자녀,257
2019,관악구,중학교,국제결혼가정 자녀,97
2019,관악구,중학교,외국인가정 자녀,46
2019,관악구,고등학교,국제결혼가정 자녀,51
2019,관악구,고등학교,외국인가정 자녀,17
2020,관악구,초등학교,국제결혼가정 자녀,459
2020,관악구,초등학교,외국인가정 자녀,233
2020,관악구,중학교,국제결혼가정 자녀,129
2020,관악구,중학교,외국인가정 자녀,46
2020,관악구,고등학교,국제결혼가정 자녀,65
2020,관악구,고등학교,외국인가정 자녀,44
2021,관악구,초등학교,국제결혼가정 자녀,436
2021,관악구,초등학교,외국인가정 자녀,246
2021,관악구,중학교,국제결혼가정 자녀,171
2021,관악구,중학교,외국인가정 자녀,68
2021,관악구,고등학교,국제결혼가정 자녀,73
2021,관악구,고등학교,외국인가정 자녀,85
2022,관악구,초등학교,국제결혼가정 자녀,420
2022,관악구,초등학교,외국인가정 자녀,198
2022,관악구,중학교,국제결혼가정 자녀,182
2022,관악구,중학교,외국인가정 자녀,88
2022,관악구,고등학교,국제결혼가정 자녀,90
